MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
12/17/2021 13:46:50,1.11.0,Free_feed,3,3.88,4,0,Pellet,Left,0,0,1,0,Timed_out,nan,nan
12/17/2021 13:48:52,1.11.0,Free_feed,3,3.88,2,0,Pellet,Left,0,0,2,0,Timed_out,122,nan
12/17/2021 13:48:53,1.11.0,Free_feed,3,3.89,1,0,Pellet,Left,0,0,3,0,0.06,1,nan
12/17/2021 13:48:54,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,0,0,4,0,0.06,1,nan
12/17/2021 13:52:55,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,0,0,5,0,Timed_out,241,nan
12/17/2021 13:55:35,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,0,0,6,0,Timed_out,160,nan
12/17/2021 13:55:50,1.11.0,Free_feed,3,3.87,1,0,Pellet,Left,0,0,7,0,7.77,15,nan
12/17/2021 13:59:52,1.11.0,Free_feed,3,3.88,1,0,LeftWithPellet,Left,1,0,7,0,nan,nan,0.05
12/17/2021 14:08:25,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,1,0,8,0,Timed_out,755,nan
12/17/2021 14:10:24,1.11.0,Free_feed,3,3.88,4,0,Pellet,Left,1,0,9,0,Timed_out,119,nan
12/17/2021 14:10:45,1.11.0,Free_feed,3,3.88,4,0,Pellet,Left,1,0,10,0,10.43,21,nan
12/17/2021 14:20:00,1.11.0,Free_feed,3,3.89,1,0,RightWithPellet,Left,1,1,10,0,nan,nan,0.03
12/17/2021 14:20:02,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,1,1,11,0,Timed_out,557,nan
12/17/2021 14:22:13,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,1,1,12,0,Timed_out,131,nan
12/17/2021 14:22:35,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,1,1,13,0,14.95,22,nan
12/17/2021 14:28:11,1.11.0,Free_feed,3,3.87,1,0,Pellet,Left,1,1,14,0,Timed_out,336,nan
12/17/2021 14:31:01,1.11.0,Free_feed,3,3.87,1,0,LeftWithPellet,Left,2,1,14,0,nan,nan,0.00
12/17/2021 14:33:51,1.11.0,Free_feed,3,3.88,1,0,Pellet,Left,2,1,15,0,Timed_out,340,nan
